[397945000] ID:123 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000186023e02b701b6022e0276
[397955000] ID:124 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000175022e02a701b6022e0276
[397965000] ID:125 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000017d023602af01ae0226026e
[397975000] ID:126 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018e023e02bf01b6023e0287
[397985000] ID:127 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018e022e02b701ce0256029f
[398015000] ID:128 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000017d011dff13fc91fca1fca1
[398025000] ID:129 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000014500edff33fc89fc99fc99
[398035000] ID:130 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000005c008dffb4fc91fca1fca1
[398045000] ID:131 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fea3000c007cfc91fca1fca1
[398055000] ID:132 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdda000c0145fc99fca9fca9
[398065000] ID:133 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe22006c01cefca9fcb9fcb9
[398075000] ID:134 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe5200bd0226fcb9fcc9fcd1
[398085000] ID:135 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe5201150236fcd9fce9fcf1
[398095000] ID:136 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe8b0165026efcf1fcf9fd01
[398105000] ID:137 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fee301a602a7fd09fd19fd21
[398115000] ID:138 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff2301be02bffd29fd31fd39
[398125000] ID:139 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff4301de02d7fd49fd49fd59
