[2426485000] ID:186 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd51feb3fd69fd9afdc2
[2426495000] ID:187 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc99fd8afedbfd51fd79fdaa
[2426505000] ID:188 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fd49fe7afd21fd41fd71
[2426515000] ID:189 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc48fd29fe72fd29fd49fd71
[2426525000] ID:190 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fd92fefbfd31fd49fd69
[2426535000] ID:191 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcb9fda2ff13fd31fd41fd61
[2426545000] ID:192 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fdaaff13fd19fd29fd49
[2426555000] ID:193 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcd1fdfaff84fd11fd29fd41
[2426565000] ID:194 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89fdcaff63fd01fd29fd39
[2426575000] ID:195 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcb1fe0aff9cfce9fd09fd11
[2426585000] ID:196 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd8aff13fcf1fd09fd11
[2426595000] ID:197 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd82ff03fce1fcf1fd01
[2426605000] ID:198 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd79ff03fcd1fce1fcf1
[2426615000] ID:199 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fd82ff1bfcd9fcf1fd09
[2426625000] ID:200 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fdb2ff53fcf9fd11fd21
[2426635000] ID:201 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fca1fe12ffbcfd39fd59fd79
[2426645000] ID:202 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd21fec30064fd51fd71fdaa
