[2429285000] ID:184 | Stg:1 | Loc:0 | Lic:0 | Data:042900330183000003e80110090e051f057c055601af00000000000000000138
[2429295000] ID:185 | Stg:1 | Loc:0 | Lic:0 | Data:044900370168000003db0156092d05220576056601a40000000000000000011a
[2429305000] ID:186 | Stg:1 | Loc:0 | Lic:0 | Data:03f10060018e00000435010a0915055805ba054801b9000000000000000000de
[2429315000] ID:187 | Stg:1 | Loc:0 | Lic:0 | Data:0386004f019500000447008408e0056505f004f901d700000000000000000113
[2429325000] ID:188 | Stg:1 | Loc:0 | Lic:0 | Data:03b5001c01c70000045600a308e9057305cd050501bd00000000000000000175
[2429335000] ID:189 | Stg:1 | Loc:0 | Lic:0 | Data:042400120166000003d20104090b05000580057201c200000000000000000173
[2429345000] ID:190 | Stg:1 | Loc:0 | Lic:0 | Data:038e001b01a50000046d009308ea056705fb053b01e200000000000000000160
[2429355000] ID:191 | Stg:1 | Loc:0 | Lic:0 | Data:031c0024017000000448001108b60557063204df020c00000000000000000155
[2429365000] ID:192 | Stg:1 | Loc:0 | Lic:0 | Data:0311002101780023043b0000089e053e062904e0021700000000000000000177
[2429375000] ID:193 | Stg:1 | Loc:0 | Lic:0 | Data:0288002f016c007204af00000890057206ab04f2025300000000000000000149
[2429385000] ID:194 | Stg:1 | Loc:0 | Lic:0 | Data:028c001400b50054041a000008a104fb06b20530028900000000000000000151
[2429395000] ID:195 | Stg:1 | Loc:0 | Lic:0 | Data:021a0000015400a205150000089105930723052f029200000000000000000190
[2429405000] ID:196 | Stg:1 | Loc:0 | Lic:0 | Data:029f0000012300470499000008aa052f06b90580027f0000000000000000018a
[2429415000] ID:197 | Stg:1 | Loc:0 | Lic:0 | Data:0339000000e300000402002408c804b8063d05dd026b00000000000000000193
[2429425000] ID:198 | Stg:1 | Loc:0 | Lic:0 | Data:03400000011d00000410001308bb04d90627059d024d000000000000000001b3
[2429435000] ID:199 | Stg:1 | Loc:0 | Lic:0 | Data:03290002013200000440000b08bb04f70641059d024f00000000000000000199
[2429445000] ID:200 | Stg:1 | Loc:0 | Lic:0 | Data:02ea000100f30016043f000008b704e4067b05b6027c0000000000000000017d
[2429455000] ID:201 | Stg:1 | Loc:0 | Lic:0 | Data:02260041008e00d004290000087404d606f3054a02cc00000000000000000110
[2429465000] ID:202 | Stg:1 | Loc:0 | Lic:0 | Data:00d600ae014602210554000007fb05b507cf045902f600000000000000000098
[2429475000] ID:203 | Stg:1 | Loc:0 | Lic:0 | Data:002a00990123027f05cf000007ed05ef0873046803420000000000000000009f
[2429485000] ID:204 | Stg:1 | Loc:0 | Lic:0 | Data:0000006400f9028405b1000007ee0605089204120341000100000000000000d7
